date,region,category,units_sold,unit_price,revenue,customer_rating
2026-01-03,Jakarta,Electronics,12,850000,10200000,4.7
2026-01-05,Bandung,Home,25,225000,5625000,4.3
2026-01-08,Surabaya,Fashion,38,175000,6650000,4.5
2026-01-11,Jakarta,Home,18,240000,4320000,4.1
2026-01-14,Medan,Electronics,9,920000,8280000,4.6
2026-01-17,Bandung,Fashion,42,160000,6720000,4.4
2026-01-20,Surabaya,Electronics,15,810000,12150000,4.8
2026-01-23,Jakarta,Fashion,33,185000,6105000,4.2
2026-01-26,Medan,Home,21,210000,4410000,
2026-01-29,Bandung,Electronics,11,875000,9625000,4.7
2026-02-02,Surabaya,Home,29,230000,6670000,4.5
2026-02-05,Jakarta,Electronics,17,830000,14110000,4.9
2026-02-08,Medan,Fashion,36,170000,6120000,4.0
2026-02-11,Bandung,Home,24,220000,5280000,4.3
2026-02-14,Surabaya,Fashion,45,180000,8100000,4.6
2026-02-17,Jakarta,Home,20,235000,4700000,4.4
2026-02-20,Medan,Electronics,8,950000,7600000,4.5
2026-02-23,Bandung,Fashion,40,165000,6600000,
2026-02-26,Surabaya,Electronics,14,840000,11760000,4.8
2026-03-01,Jakarta,Fashion,31,190000,5890000,4.3

